import time: self [us] | cumulative | imported package
import time:      3266 |       3929 |                       dateutil.parser._parser
import time:      1000 |       1000 |                       dateutil.parser.isoparser
import time:      1358 |       6286 |                     dateutil.parser
import time:      3259 |       3259 |                     pandas._libs.tslibs.strptime
import time:      3152 |      12696 |                   pandas._libs.tslibs.parsing
import time:      2771 |      70276 |                 pandas._libs.tslibs.conversion
import time:      3950 |       3950 |                 pandas._libs.tslibs.period
import time:      3430 |       3430 |                 pandas._libs.tslibs.vectorized
import time:       646 |      88889 |               pandas._libs.tslibs
import time:        57 |      88945 |             pandas._libs.tslibs.nattype
import time:      3279 |       3279 |             pandas._libs.ops_dispatch
import time:      2678 |      94901 |           pandas._libs.missing
import time:      3623 |      98524 |         pandas._libs.hashtable
import time:      4561 |       4561 |         pandas._libs.algos
import time:      3584 |     106668 |       pandas._libs.interval
import time:       481 |     113241 |     pandas._libs
import time:      1022 |       1022 |       pandas.core.dtypes
import time:       208 |        208 |         pyarrow
import time:      4295 |       4503 |       pandas._libs.lib
import time:      2031 |       2031 |       pandas.errors
import time:      1516 |       1516 |         pandas.core.dtypes.generic
import time:       999 |       2514 |       pandas.core.dtypes.base
import time:       879 |        879 |       pandas.core.dtypes.inference
import time:      3580 |      14527 |     pandas.core.dtypes.dtypes
import time:      1267 |       1267 |       pandas.core.dtypes.common
import time:      1067 |       2334 |     pandas.core.dtypes.missing
import time:      1275 |       1275 |       pandas.util._decorators
import time:      1134 |       1134 |           pandas.io
import time:      2077 |       3211 |         pandas.io._util
import time:      2004 |       5214 |       pandas.core.dtypes.cast
import time:       998 |        998 |         pandas.core.dtypes.astype
import time:      1341 |       2338 |       pandas.core.dtypes.concat
import time:       669 |        669 |         pandas.core.array_algos
import time:      1312 |       1312 |           pandas.core.common
import time:      1178 |       2490 |         pandas.core.construction
import time:      3259 |       6417 |       pandas.core.array_algos.take
import time:      1530 |       1530 |         pandas.core.indexers.utils
import time:      1200 |       2729 |       pandas.core.indexers
import time:      1999 |      19970 |     pandas.core.algorithms
import time:      3730 |       3730 |         pandas.core.arrays.arrow.accessors
import time:      1316 |       1316 |           pandas.util._validators
import time:      1550 |       1550 |           pandas.core.missing
import time:      2805 |       2805 |               pandas._libs.ops
import time:      1315 |       1315 |               pandas.core.roperator
import time:       844 |        844 |               pandas.core.computation
import time:       928 |        928 |                 pandas.core.computation.check
import time:      2196 |       3123 |               pandas.core.computation.expressions
import time:      1223 |       1223 |               pandas.core.ops.missing
import time:      1114 |       1114 |               pandas.core.ops.dispatch
import time:       972 |        972 |               pandas.core.ops.invalid
import time:      2963 |      14355 |             pandas.core.ops.array_ops
import time:       741 |        741 |             pandas.core.ops.common
import time:      1029 |       1029 |             pandas.core.ops.docstrings
import time:       688 |        688 |             pandas.core.ops.mask_ops
import time:       988 |      17799 |           pandas.core.ops
import time:      1132 |       1132 |           pandas.core.arraylike
import time:      1350 |       1350 |           pandas.core.arrays._arrow_string_mixins
import time:       671 |        671 |           pandas.core.arrays._utils
import time:       926 |        926 |             pandas.compat.numpy.function
import time:       699 |        699 |             pandas.core.array_algos.quantile
import time:       934 |        934 |             pandas.core.sorting
import time:      1565 |       4122 |           pandas.core.arrays.base
import time:      2076 |       2076 |             pandas.core.nanops
import time:       917 |        917 |             pandas.core.array_algos.masked_accumulations
import time:       762 |        762 |             pandas.core.array_algos.masked_reductions
import time:      1022 |       1022 |               pandas.core.util
import time:      2889 |       2889 |               pandas._libs.hashing
import time:       980 |       4890 |             pandas.core.util.hashing
import time:      2933 |      11577 |           pandas.core.arrays.masked
import time:      2237 |       2237 |             pandas._libs.arrays
import time:      1223 |       1223 |               pandas.core.arrays.numeric
import time:      1280 |       2503 |             pandas.core.arrays.floating
import time:      1584 |       1584 |             pandas.core.arrays.integer
import time:       867 |        867 |                 pandas.core.array_algos.transforms
import time:      1294 |       2160 |               pandas.core.arrays._mixins
import time:       703 |        703 |                 pandas.core.strings
import time:      1050 |       1050 |                 pandas.core.strings.base
import time:      2020 |       3772 |               pandas.core.strings.object_array
import time:      1248 |       7180 |             pandas.core.arrays.numpy_
import time:      1335 |       1335 |             pandas.io.formats
import time:       859 |        859 |               pandas.io.formats.console
import time:      2393 |       3252 |             pandas.io.formats.printing
import time:      1774 |      19862 |           pandas.core.arrays.string_
import time:      1845 |       1845 |             pandas.tseries
import time:      2568 |       4412 |           pandas.tseries.frequencies
import time:      2916 |      66702 |         pandas.core.arrays.arrow.array
import time:      2359 |      72791 |       pandas.core.arrays.arrow
import time:      1158 |       1158 |       pandas.core.arrays.boolean
import time:      1134 |       1134 |         pandas.core.accessor
import time:      1279 |       1279 |         pandas.core.base
import time:      1870 |       4282 |       pandas.core.arrays.categorical
import time:      3532 |       3532 |         pandas._libs.tslib
import time:       952 |        952 |           pandas.core.array_algos.datetimelike_accumulations
import time:      3998 |       4950 |         pandas.core.arrays.datetimelike
import time:      1019 |       1019 |         pandas.core.arrays._ranges
import time:       692 |        692 |         pandas.tseries.offsets
import time:      2010 |      12202 |       pandas.core.arrays.datetimes
import time:      2020 |       2020 |         pandas.core.arrays.timedeltas
import time:      2456 |       4476 |       pandas.core.arrays.interval
import time:      1585 |       1585 |       pandas.core.arrays.period
import time:      3591 |       3591 |             pandas._libs.sparse
import time:      2294 |       5884 |           pandas.core.arrays.sparse.array
import time:      1336 |       7219 |         pandas.core.arrays.sparse.accessor
import time:       777 |       7995 |       pandas.core.arrays.sparse
import time:      1595 |       1595 |       pandas.core.arrays.string_arrow
import time:       903 |     106982 |     pandas.core.arrays
import time:       869 |        869 |     pandas.core.flags
import time:      3692 |       3692 |           pandas._libs.internals
import time:       950 |        950 |             pandas.core._numba
import time:      2237 |       3186 |           pandas.core._numba.executor
import time:      2159 |       9036 |         pandas.core.apply
import time:        90 |         90 |             gc
import time:      2277 |       2277 |               pandas._libs.indexing
import time:       796 |        796 |                 pandas.core.indexes
import time:      5189 |       5189 |                   pandas._libs.index
import time:      3899 |       3899 |                   pandas._libs.writers
import time:      3456 |       3456 |                   pandas._libs.join
import time:      1229 |       1229 |                   pandas.core.array_algos.putmask
import time:      1124 |       1124 |                   pandas.core.indexes.frozen
import time:      5029 |       5029 |                   pandas.core.strings.accessor
import time:      4478 |      24400 |                 pandas.core.indexes.base
import time:       914 |        914 |                   pandas.core.indexes.extension
import time:      1166 |       2079 |                 pandas.core.indexes.category
import time:      1671 |       1671 |                     pandas.core.indexes.range
